number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_weight_decay,state
137,0.6400608928929499,2024-04-18 15:50:05.389970,2024-04-18 15:50:56.605016,0 days 00:00:51.215046,48,0.0002913055014712017,0.018395838698989066,COMPLETE
138,0.6400608928929499,2024-04-18 15:50:56.605814,2024-04-18 15:51:47.900940,0 days 00:00:51.295126,48,0.00019051236876007702,0.01442490856326577,COMPLETE
139,0.6400608928929499,2024-04-18 15:51:47.901692,2024-04-18 15:52:40.138755,0 days 00:00:52.237063,48,0.00024443182518403745,0.017321318483371775,COMPLETE
140,0.6400608928929499,2024-04-18 15:52:40.139544,2024-04-18 15:53:31.445215,0 days 00:00:51.305671,48,0.00039710438091398087,0.01106558009159072,COMPLETE
141,0.6400608928929499,2024-04-18 15:53:31.445848,2024-04-18 15:54:22.866829,0 days 00:00:51.420981,48,0.00024814358394653445,0.01511902632577844,COMPLETE
142,0.6400608928929499,2024-04-18 15:54:22.867658,2024-04-18 15:55:14.167950,0 days 00:00:51.300292,48,0.0003630344161807384,0.014855711117441713,COMPLETE
143,0.6400608928929499,2024-04-18 15:55:14.168585,2024-04-18 15:56:05.666478,0 days 00:00:51.497893,48,0.0002732813724429129,0.01358089476035339,COMPLETE
144,0.6400608928929499,2024-04-18 15:56:05.667331,2024-04-18 15:56:57.023120,0 days 00:00:51.355789,48,0.00020589876738365322,0.007463549152391804,COMPLETE
145,0.6400608928929499,2024-04-18 15:56:57.024037,2024-04-18 15:57:49.271205,0 days 00:00:52.247168,48,0.00016683514722139203,0.013115928933284888,COMPLETE
146,0.6400608928929499,2024-04-18 15:57:49.272141,2024-04-18 15:58:41.489544,0 days 00:00:52.217403,48,0.0003168377021991209,0.009825865777014196,COMPLETE
147,0.6400608928929499,2024-04-18 15:58:41.490359,2024-04-18 15:59:32.711855,0 days 00:00:51.221496,48,0.000350268267414609,0.016502772187316616,COMPLETE
148,0.6400608928929499,2024-04-18 15:59:32.712657,2024-04-18 16:00:24.093147,0 days 00:00:51.380490,48,0.00023962895186106797,0.011908129535117551,COMPLETE
149,0.6400608928929499,2024-04-18 16:00:24.094058,2024-04-18 16:01:15.306038,0 days 00:00:51.211980,48,0.00045172318039938105,0.014489662943810924,COMPLETE
